18.7,8.941,-63.3781,12
18.8,8.941,-64.2722,12
18.9,8.941,-65.1663,12
19,8.941,-66.0604,12
19.1,8.941,-66.9545,12
19.2,8.941,-67.8486,12
19.3,8.941,-68.7427,12
19.4,8.941,-69.6368,12
19.5,8.941,-70.5309,12
19.6,8.941,-71.425,12
19.7,8.941,-72.3191,12
19.8,8.941,-73.2132,12
19.9,8.941,-74.1073,12
20,8.941,-75.0014,12
20.1,8.941,-75.8955,12
20.2,8.941,-76.7896,12
20.3,8.941,-77.6837,12
20.4,8.941,-78.5778,12
20.5,8.941,-79.4719,12
20.6,8.941,-80.366,12
20.7,8.941,-81.2601,12
20.8,8.941,-82.1542,12
20.9,8.941,-83.0483,12
21,8.941,-83.9424,12
21.1,8.941,-84.8365,12
21.2,8.941,-85.7306,12
21.3,8.941,-86.6247,12
21.4,8.941,-87.5188,12
21.5,8.941,-88.4129,12
21.6,8.941,-89.307,12
21.7,8.941,-90.2011,12
21.8,8.941,-91.0952,12
21.9,8.941,-91.9893,12
22,8.941,-92.8834,12
22.1,8.941,-93.7775,12
22.2,8.941,-94.6716,12
22.3,8.941,-95.5657,12
22.4,8.941,-96.4598,12
22.5,8.941,-97.3539,12
22.6,8.941,-98.248,12
22.7,8.941,-99.1421,12
22.8,8.941,-100.0362,12
22.9,8.941,-100.9303,12
23,8.941,-101.8244,12
23.1,8.941,-102.7185,12
23.2,8.941,-103.6126,12
23.3,8.941,-104.5067,12
23.4,8.941,-105.4008,12
23.5,8.941,-106.2949,12
23.6,8.941,-107.189,12
23.7,8.941,-108.0831,12
23.8,8.941,-108.9772,12
23.9,8.941,-109.8713,12
24,8.941,-110.7654,12
24.1,8.941,-111.6595,12
24.2,8.941,-112.5536,12
24.3,8.941,-113.4477,12
24.4,8.941,-114.3418,12
24.5,8.941,-115.2359,12
24.6,8.941,-116.13,12
24.7,8.941,-117.0241,12
24.8,8.941,-117.9182,12
24.9,8.941,-118.8123,12
25,8.941,-119.7064,12
25.1,8.941,-120.6005,12
25.2,8.941,-121.4946,12
25.3,8.941,-122.3887,12
25.4,8.941,-123.2828,12
25.5,8.941,-124.1769,12
25.6,8.941,-125.071,12
25.7,8.941,-125.9651,12
25.8,8.941,-126.8592,12
25.9,8.941,-127.7533,12
26,8.941,-128.6474,12
26.1,8.941,-129.5415,12
26.2,8.941,-130.4356,12
26.3,8.941,-131.3297,12
26.4,8.941,-132.2238,12
26.5,8.941,-133.1179,12
26.6,8.941,-134.012,12
26.7,8.941,-134.9061,12
26.8,8.941,-135.8002,12
26.9,8.941,-136.6943,12
27,8.941,-137.5884,12
27.1,8.941,-138.4825,12
27.2,8.941,-139.3766,12
27.3,8.941,-140.2707,12
27.4,8.941,-141.1648,12
27.5,8.941,-142.0589,12
27.6,8.941,-142.953,12
27.7,8.941,-143.8471,12
27.8,8.941,-144.7412,12
27.9,8.941,-145.6353,12
28,8.941,-146.5294,12
28.1,8.941,-147.4235,12
28.2,8.941,-148.3176,12
28.3,8.941,-149.2117,12
28.4,8.941,-150.1058,12
28.5,8.941,-150.9999,12
28.6,8.941,-151.894,12
28.7,8.941,-152.7881,12
28.8,8.941,-153.6822,12
28.9,8.941,-154.5763,12
29,8.941,-155.4704,12
29.1,8.941,-156.3645,12
29.2,8.941,-157.2586,12
29.3,8.941,-158.1527,12
29.4,8.941,-159.0468,12
29.5,8.941,-159.9409,12
29.6,8.941,-160.835,12
29.7,8.941,-161.7291,12
29.8,8.941,-162.6232,12
29.9,8.941,-163.5173,12
30,8.941,-164.4114,12
30.1,8.941,-165.3055,12
30.2,8.941,-166.1996,12
30.3,8.941,-167.0937,12
30.4,8.941,-167.9878,12
30.5,8.941,-168.8819,12
30.6,8.941,-169.776,12
30.7,8.941,-170.6701,12
30.8,8.941,-171.5642,12
30.9,8.941,-172.4583,12
31,8.941,-173.3524,12
31.1,8.941,-174.2465,12
31.2,8.941,-175.1406,12
31.3,8.941,-176.0347,12
31.4,8.941,-176.9288,12
31.5,8.941,-177.8229,12
31.6,8.941,-178.717,12
31.7,8.941,-179.6111,12
31.8,8.941,-180.5052,12
31.9,8.941,-181.3993,12
32,8.941,-182.2934,12
32.1,8.941,-183.1875,12
32.2,8.941,-184.0816,12
32.3,8.941,-184.9757,12
32.4,8.941,-185.8698,12
32.5,8.941,-186.7639,12
32.6,8.941,-187.658,12
32.7,8.941,-188.5521,12
32.8,8.941,-189.4462,12
